Course Title,Instructors,Course Subject,Total Course Hours (Thousands),Course_Level,Pre_Requirement,Course_Price,Placement_Opportunity,Course_Relevancy,Expected_Package,EMI_Available,Financial_Aid,Offer_Certificate,soup
Introduction to Biology: Secret of Life,Eric Lander,"Science, Technology, Engineering, and Mathematics",331.0,Advanced,No Prerequisite,0.0,Yes,2013,4,No,Yes,Yes,"""Title"": Introduction to Biology: Secret of Life, ""Level"": Advanced, ""Price"": Free, ""Duration"": 331.0, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 4 to 5 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Innovation and Commercialization,Gene Fitzgerald,"Government, Health, and Social Science",101.36,Advanced,No Prerequisite,0.0,Yes,2013,8,No,Yes,Yes,"""Title"": Innovation and Commercialization, ""Level"": Advanced, ""Price"": Free, ""Duration"": 101.36, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 8 to 9 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Global Architecture,Mark Jarzombek,"Humanities, History, Design, Religion, and Education",138.94,Advanced,No Prerequisite,0.0,No,2013,9,No,No,Yes,"""Title"": Global Architecture, ""Level"": Advanced, ""Price"": Free, ""Duration"": 138.94, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 9 to 10 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
"Central Challenges in American National Security, Strategy and the Press: An Introduction","Graham Allison, David Sanger","Government, Health, and Social Science",12.57,Advanced,No Prerequisite,0.0,No,2013,15,No,No,No,"""Title"": Central Challenges in American National Security, Strategy and the Press: An Introduction, ""Level"": Advanced, ""Price"": Free, ""Duration"": 12.57, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 15 to 16 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": No, ""Metadata"": Government, Health, and Social Science"
"Introduction to Philosophy: God, Knowledge and Consciousness",Caspar Hare,"Humanities, History, Design, Religion, and Education",154.23,Advanced,No Prerequisite,425.0,Yes,2013,13,Yes,Yes,Yes,"""Title"": Introduction to Philosophy: God, Knowledge and Consciousness, ""Level"": Advanced, ""Price"": 425.0, ""Duration"": 154.23, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 13 to 14 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Science and Cooking: From Haute Cuisine to Soft Matter Science,Michael Brenner,"Science, Technology, Engineering, and Mathematics",399.77,Advanced,No Prerequisite,0.0,Yes,2013,25,No,No,Yes,"""Title"": Science and Cooking: From Haute Cuisine to Soft Matter Science, ""Level"": Advanced, ""Price"": Free, ""Duration"": 399.77, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 25 to 26 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Fundamentals of Clinical Trials,"James Ware, Elliott Antman, Julie Buring, Graham McMahon, Marcia Testa, Robert Truog","Government, Health, and Social Science",104.37,Advanced,No Prerequisite,550.0,No,2013,17,No,No,Yes,"""Title"": Fundamentals of Clinical Trials, ""Level"": Advanced, ""Price"": 550.0, ""Duration"": 104.37, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 17 to 18 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Circuits and Electronics,Anant Agarwal,"Science, Technology, Engineering, and Mathematics",117.84,Advanced,No Prerequisite,0.0,Yes,2013,11,No,No,Yes,"""Title"": Circuits and Electronics, ""Level"": Advanced, ""Price"": Free, ""Duration"": 117.84, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 11 to 12 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Introduction to Computer Science and Programming,"Eric Grimson, John Guttag",Computer Science,523.56,Advanced,No Prerequisite,0.0,No,2013,10,No,Yes,Yes,"""Title"": Introduction to Computer Science and Programming, ""Level"": Advanced, ""Price"": Free, ""Duration"": 523.56, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 10 to 11 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Computer Science"
Dynamics and Control I,David Gossard,"Science, Technology, Engineering, and Mathematics",60.99,Advanced,No Prerequisite,975.0,No,2013,16,No,No,Yes,"""Title"": Dynamics and Control I, ""Level"": Advanced, ""Price"": 975.0, ""Duration"": 60.99, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 16 to 17 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
The Political and Intellectual Foundations of China,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",145.08,Advanced,No Prerequisite,0.0,No,2013,8,No,No,Yes,"""Title"": The Political and Intellectual Foundations of China, ""Level"": Advanced, ""Price"": Free, ""Duration"": 145.08, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 8 to 9 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Poetry in America: The Poetry of Early New England,Elisa New,"Humanities, History, Design, Religion, and Education",13.89,Advanced,No Prerequisite,0.0,No,2013,18,No,No,No,"""Title"": Poetry in America: The Poetry of Early New England, ""Level"": Advanced, ""Price"": Free, ""Duration"": 13.89, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 18 to 19 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": No, ""Metadata"": Humanities, History, Design, Religion, and Education"
Health and Society,Ichiro Kawachi,"Government, Health, and Social Science",99.29,Advanced,No Prerequisite,650.0,No,2013,13,Yes,No,Yes,"""Title"": Health and Society, ""Level"": Advanced, ""Price"": 650.0, ""Duration"": 99.29, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2013 Market Demand, ""Expected_Package"": 13 to 14 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Introduction to Computer Science,David Malan,Computer Science,853.36,Advanced,No Prerequisite,425.0,No,2014,6,No,No,Yes,"""Title"": Introduction to Computer Science, ""Level"": Advanced, ""Price"": 425.0, ""Duration"": 853.36, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 6 to 7 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Computer Science"
The Creation and End of a Centralized Empire,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",68.25,Advanced,No Prerequisite,0.0,No,2014,13,No,Yes,Yes,"""Title"": The Creation and End of a Centralized Empire, ""Level"": Advanced, ""Price"": Free, ""Duration"": 68.25, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 13 to 14 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Early Christianity: The Letters of Paul,Laura Nasrallah,"Humanities, History, Design, Religion, and Education",101.83,Advanced,No Prerequisite,650.0,No,2014,21,No,No,Yes,"""Title"": Early Christianity: The Letters of Paul, ""Level"": Advanced, ""Price"": 650.0, ""Duration"": 101.83, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 21 to 22 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Poetry in America: Whitman,Elisa New,"Humanities, History, Design, Religion, and Education",19.6,Advanced,No Prerequisite,700.0,No,2014,6,Yes,No,Yes,"""Title"": Poetry in America: Whitman, ""Level"": Advanced, ""Price"": 700.0, ""Duration"": 19.6, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 6 to 7 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Building Mobile Experiences,"Frank Bentley, Ed Barrett",Computer Science,40.13,Advanced,No Prerequisite,975.0,No,2014,17,No,Yes,Yes,"""Title"": Building Mobile Experiences, ""Level"": Advanced, ""Price"": 975.0, ""Duration"": 40.13, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 17 to 18 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Computer Science"
Challenges of World Poverty,"Esther Duflo, Abhijit Banerjee","Government, Health, and Social Science",84.99,Advanced,No Prerequisite,0.0,No,2014,21,No,Yes,Yes,"""Title"": Challenges of World Poverty, ""Level"": Advanced, ""Price"": Free, ""Duration"": 84.99, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 21 to 22 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Introduction to Probability: The Science of Uncertainty,John Tsitsiklis,"Science, Technology, Engineering, and Mathematics",224.14,Advanced,No Prerequisite,275.0,Yes,2014,8,Yes,Yes,Yes,"""Title"": Introduction to Probability: The Science of Uncertainty, ""Level"": Advanced, ""Price"": 275.0, ""Duration"": 224.14, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 8 to 9 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Cosmopolitan Tang: Aristocratic Culture,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",33.76,Advanced,No Prerequisite,850.0,Yes,2014,7,Yes,Yes,Yes,"""Title"": Cosmopolitan Tang: Aristocratic Culture, ""Level"": Advanced, ""Price"": 850.0, ""Duration"": 33.76, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 7 to 8 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Global Warming Science,Kerry Emanuel,"Science, Technology, Engineering, and Mathematics",55.04,Advanced,No Prerequisite,0.0,No,2014,20,No,No,Yes,"""Title"": Global Warming Science, ""Level"": Advanced, ""Price"": Free, ""Duration"": 55.04, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 20 to 21 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Introduction to Computer Science and Programming,"Eric Grimson, John Guttag",Computer Science,188.51,Advanced,No Prerequisite,50.0,No,2014,8,No,No,Yes,"""Title"": Introduction to Computer Science and Programming, ""Level"": Advanced, ""Price"": 50.0, ""Duration"": 188.51, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 8 to 9 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Computer Science"
Global Health: Case Studies from a Biosocial Perspective,"Arthur Kleinman, Paul Farmer, Salmaan Keshavjee, Anne Becker","Government, Health, and Social Science",39.34,Advanced,No Prerequisite,75.0,No,2014,6,No,No,Yes,"""Title"": Global Health: Case Studies from a Biosocial Perspective, ""Level"": Advanced, ""Price"": 75.0, ""Duration"": 39.34, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 6 to 7 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
The Analytics Edge,Dimitris Bertsimas,"Government, Health, and Social Science",313.27,Advanced,No Prerequisite,425.0,No,2014,8,No,No,Yes,"""Title"": The Analytics Edge, ""Level"": Advanced, ""Price"": 425.0, ""Duration"": 313.27, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 8 to 9 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Flight Vehicle Aerodynamics,Mark Drela,"Science, Technology, Engineering, and Mathematics",34.28,Advanced,No Prerequisite,0.0,Yes,2014,11,No,No,Yes,"""Title"": Flight Vehicle Aerodynamics, ""Level"": Advanced, ""Price"": Free, ""Duration"": 34.28, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 11 to 12 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Introduction to Computational Thinking and Data Science,"Eric Grimson, John Guttag",Computer Science,97.28,Advanced,No Prerequisite,0.0,Yes,2014,7,No,Yes,Yes,"""Title"": Introduction to Computational Thinking and Data Science, ""Level"": Advanced, ""Price"": Free, ""Duration"": 97.28, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 7 to 8 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Computer Science"
Unlocking the Immunity to Change,"Robert Kegan, Lisa Lahey","Humanities, History, Design, Religion, and Education",159.84,Advanced,No Prerequisite,0.0,No,2014,20,No,No,Yes,"""Title"": Unlocking the Immunity to Change, ""Level"": Advanced, ""Price"": Free, ""Duration"": 159.84, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 20 to 21 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Entrepreneurship 101: Who Is Your Customer?,Bill Aulet,"Government, Health, and Social Science",108.97,Advanced,No Prerequisite,800.0,Yes,2014,4,Yes,Yes,Yes,"""Title"": Entrepreneurship 101: Who Is Your Customer?, ""Level"": Advanced, ""Price"": 800.0, ""Duration"": 108.97, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 4 to 5 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
